Model,Split,Precision,Recall,F1_Entity_Level,Macro_F1,Token_Accuracy,MCC_Entity_Detection,MCC_Token_Multiclass
Mini-CyBERT NER,Validation,0.7022,0.7137,0.7079,0.682,0.9538,0.7743,0.7309
Mini-CyBERT NER,Test,0.6985,0.7033,0.7009,0.6767,0.952,0.7764,0.7344
